train_accuracy_0,test_accuracy_0,train_accuracy_1,test_accuracy_1,train_accuracy_2,test_accuracy_2,train_accuracy_3,test_accuracy_3,train_accuracy_4,test_accuracy_4,train_accuracy_5,test_accuracy_5,train_accuracy_6,test_accuracy_6,train_accuracy_7,test_accuracy_7,train_accuracy_8,test_accuracy_8,train_accuracy_9,test_accuracy_9
0.48,0.514,0.48666666666666664,0.508,0.5166666666666666,0.523,0.5483333333333333,0.501,0.5066666666666667,0.516,0.5166666666666666,0.517,0.5233333333333334,0.5189999999999999,0.5,0.472,0.49000000000000005,0.5479999999999999,0.52,0.5309999999999999
0.6,0.514,0.6083333333333333,0.509,0.6516666666666667,0.5279999999999999,0.6466666666666666,0.512,0.6366666666666666,0.522,0.6449999999999999,0.5200000000000001,0.6383333333333333,0.507,0.605,0.485,0.6166666666666666,0.549,0.665,0.5319999999999999
0.6783333333333333,0.525,0.6683333333333333,0.5050000000000001,0.73,0.5319999999999999,0.7100000000000001,0.519,0.7066666666666667,0.53,0.7416666666666667,0.517,0.7399999999999999,0.5090000000000001,0.69,0.5069999999999999,0.7066666666666667,0.548,0.745,0.53
0.7466666666666666,0.516,0.7316666666666668,0.499,0.7966666666666667,0.541,0.77,0.517,0.765,0.518,0.7866666666666667,0.524,0.7949999999999999,0.508,0.7666666666666666,0.51,0.7616666666666667,0.538,0.7866666666666666,0.5279999999999999
0.7883333333333334,0.516,0.7983333333333333,0.508,0.8366666666666668,0.5369999999999999,0.8216666666666667,0.518,0.8133333333333334,0.523,0.8250000000000001,0.509,0.8216666666666667,0.514,0.7916666666666666,0.5209999999999999,0.8066666666666666,0.533,0.8066666666666666,0.518
0.8283333333333333,0.508,0.8316666666666667,0.504,0.8649999999999999,0.5309999999999999,0.8583333333333334,0.5120000000000001,0.8300000000000001,0.525,0.8433333333333334,0.508,0.8416666666666667,0.502,0.8283333333333333,0.518,0.8383333333333333,0.526,0.8316666666666667,0.5110000000000001
0.87,0.503,0.8483333333333333,0.503,0.8850000000000001,0.526,0.87,0.51,0.8566666666666668,0.515,0.855,0.496,0.8583333333333334,0.517,0.8433333333333334,0.504,0.87,0.532,0.8533333333333332,0.511
0.89,0.508,0.8766666666666666,0.508,0.9033333333333333,0.525,0.9,0.5269999999999999,0.8866666666666667,0.5149999999999999,0.8683333333333333,0.5049999999999999,0.8766666666666666,0.503,0.8616666666666667,0.502,0.8866666666666667,0.538,0.875,0.5090000000000001
0.9016666666666667,0.504,0.89,0.5189999999999999,0.9049999999999999,0.534,0.9116666666666667,0.524,0.9066666666666666,0.516,0.8783333333333334,0.514,0.89,0.518,0.8783333333333334,0.507,0.9,0.538,0.89,0.5010000000000001
0.9116666666666667,0.506,0.8916666666666666,0.5250000000000001,0.93,0.54,0.915,0.5279999999999999,0.9183333333333333,0.517,0.8916666666666667,0.513,0.9083333333333333,0.518,0.8933333333333334,0.507,0.9216666666666667,0.5290000000000001,0.9066666666666666,0.5120000000000001
0.9250000000000002,0.511,0.9033333333333333,0.539,0.9366666666666666,0.541,0.9283333333333333,0.5279999999999999,0.9283333333333333,0.522,0.9066666666666667,0.51,0.9049999999999999,0.51,0.9066666666666667,0.508,0.9283333333333333,0.5359999999999999,0.9116666666666666,0.523
0.93,0.51,0.9083333333333333,0.537,0.9433333333333334,0.545,0.9333333333333332,0.542,0.935,0.535,0.915,0.516,0.9166666666666666,0.501,0.9116666666666667,0.516,0.9316666666666666,0.5359999999999999,0.9216666666666667,0.5199999999999999
0.9383333333333334,0.5050000000000001,0.9216666666666667,0.541,0.955,0.538,0.945,0.542,0.9416666666666668,0.523,0.9266666666666667,0.518,0.9233333333333333,0.496,0.9283333333333333,0.527,0.9383333333333334,0.534,0.9349999999999999,0.523
0.9433333333333334,0.509,0.9266666666666666,0.538,0.9583333333333334,0.54,0.9533333333333333,0.548,0.9416666666666668,0.529,0.9333333333333332,0.518,0.9283333333333333,0.502,0.9266666666666667,0.519,0.9433333333333334,0.5370000000000001,0.9416666666666665,0.527
0.9483333333333333,0.5159999999999999,0.935,0.5489999999999999,0.9666666666666667,0.532,0.9566666666666666,0.541,0.9466666666666667,0.539,0.9416666666666668,0.5229999999999999,0.9333333333333335,0.5069999999999999,0.93,0.522,0.945,0.545,0.9433333333333334,0.528
0.955,0.5189999999999999,0.9433333333333334,0.533,0.9666666666666667,0.531,0.9616666666666666,0.5479999999999999,0.9533333333333333,0.5479999999999999,0.945,0.518,0.9416666666666668,0.508,0.93,0.5279999999999999,0.9466666666666667,0.5469999999999999,0.9466666666666667,0.5269999999999999
0.955,0.5210000000000001,0.945,0.54,0.9666666666666667,0.53,0.9616666666666666,0.542,0.9516666666666667,0.5509999999999999,0.955,0.515,0.9466666666666667,0.501,0.9433333333333334,0.524,0.9500000000000001,0.5359999999999999,0.9499999999999998,0.5229999999999999
0.9566666666666667,0.5149999999999999,0.945,0.5399999999999999,0.9700000000000001,0.534,0.9633333333333333,0.538,0.9466666666666667,0.552,0.9583333333333334,0.514,0.9483333333333333,0.5040000000000001,0.9483333333333333,0.5280000000000001,0.945,0.5369999999999999,0.9533333333333333,0.524
0.9583333333333334,0.5269999999999999,0.9433333333333334,0.533,0.9683333333333333,0.537,0.9733333333333333,0.5410000000000001,0.9500000000000001,0.55,0.9616666666666666,0.525,0.9566666666666667,0.511,0.9466666666666667,0.526,0.9483333333333333,0.5369999999999999,0.9550000000000001,0.5210000000000001
0.9616666666666666,0.5219999999999999,0.9466666666666667,0.536,0.9683333333333333,0.54,0.9700000000000001,0.54,0.9550000000000001,0.554,0.9616666666666666,0.525,0.9616666666666666,0.518,0.9466666666666667,0.521,0.9533333333333335,0.53,0.96,0.5189999999999999
0.9616666666666666,0.5229999999999999,0.9533333333333333,0.526,0.9733333333333333,0.5479999999999999,0.9733333333333333,0.5349999999999999,0.955,0.552,0.9666666666666667,0.533,0.9666666666666667,0.531,0.9499999999999998,0.518,0.9533333333333335,0.531,0.9616666666666666,0.525
0.9633333333333333,0.526,0.9566666666666666,0.526,0.975,0.546,0.975,0.532,0.9616666666666666,0.549,0.9733333333333333,0.5349999999999999,0.9683333333333334,0.534,0.9516666666666665,0.522,0.96,0.5290000000000001,0.96,0.521
0.9616666666666666,0.531,0.96,0.527,0.9783333333333334,0.542,0.9766666666666666,0.532,0.9616666666666666,0.5469999999999999,0.9733333333333333,0.5309999999999999,0.9683333333333334,0.53,0.9533333333333333,0.5210000000000001,0.9666666666666667,0.525,0.96,0.519
0.9616666666666666,0.53,0.965,0.5280000000000001,0.9783333333333334,0.5369999999999999,0.9766666666666666,0.534,0.9616666666666666,0.543,0.975,0.528,0.9700000000000001,0.537,0.9533333333333333,0.531,0.9716666666666667,0.527,0.9633333333333333,0.524
0.965,0.529,0.965,0.524,0.98,0.5429999999999999,0.9733333333333333,0.535,0.9649999999999999,0.5479999999999999,0.975,0.533,0.9716666666666667,0.545,0.9583333333333334,0.531,0.975,0.5230000000000001,0.9699999999999999,0.5280000000000001
0.9683333333333334,0.5320000000000001,0.9649999999999999,0.526,0.9783333333333334,0.547,0.9733333333333333,0.532,0.9633333333333333,0.55,0.9766666666666666,0.537,0.9733333333333333,0.546,0.96,0.536,0.9733333333333333,0.521,0.9716666666666667,0.53
0.9683333333333334,0.537,0.9666666666666667,0.5279999999999999,0.9766666666666666,0.548,0.9733333333333333,0.5280000000000001,0.9633333333333334,0.546,0.9766666666666666,0.5349999999999999,0.98,0.544,0.96,0.5359999999999999,0.98,0.517,0.9733333333333333,0.528
0.9683333333333333,0.5330000000000001,0.9733333333333333,0.532,0.98,0.545,0.9766666666666666,0.532,0.965,0.542,0.98,0.526,0.98,0.5479999999999999,0.9616666666666666,0.5389999999999999,0.9833333333333334,0.5119999999999999,0.975,0.524
0.9683333333333333,0.532,0.9683333333333333,0.524,0.9833333333333334,0.55,0.9766666666666666,0.5320000000000001,0.9666666666666667,0.538,0.98,0.527,0.9816666666666668,0.5519999999999999,0.9633333333333333,0.5369999999999999,0.9833333333333334,0.508,0.98,0.53
0.9700000000000001,0.539,0.9733333333333333,0.5170000000000001,0.9866666666666667,0.545,0.9783333333333334,0.5319999999999999,0.9683333333333333,0.549,0.98,0.528,0.98,0.547,0.9616666666666666,0.54,0.98,0.511,0.9816666666666668,0.529
0.9766666666666666,0.536,0.975,0.523,0.9883333333333333,0.5469999999999999,0.9783333333333334,0.537,0.9683333333333333,0.5519999999999999,0.98,0.5319999999999999,0.98,0.544,0.9616666666666666,0.54,0.9783333333333334,0.505,0.9866666666666667,0.53
0.9783333333333332,0.5360000000000001,0.9783333333333334,0.524,0.9866666666666667,0.546,0.9816666666666666,0.541,0.9666666666666667,0.5509999999999999,0.9816666666666666,0.526,0.98,0.536,0.9616666666666666,0.545,0.9783333333333334,0.5119999999999999,0.9899999999999999,0.532
0.9783333333333332,0.5349999999999999,0.9816666666666666,0.526,0.9883333333333333,0.55,0.98,0.541,0.9699999999999999,0.5519999999999999,0.9816666666666666,0.526,0.98,0.5389999999999999,0.9633333333333333,0.5469999999999999,0.98,0.513,0.9916666666666667,0.5349999999999999
0.9783333333333332,0.534,0.9816666666666666,0.5309999999999999,0.9883333333333333,0.55,0.9766666666666667,0.536,0.9699999999999999,0.5509999999999999,0.985,0.524,0.9783333333333334,0.5370000000000001,0.9716666666666667,0.5429999999999999,0.9833333333333333,0.515,0.9916666666666667,0.54
0.98,0.536,0.9816666666666666,0.542,0.9883333333333333,0.55,0.98,0.538,0.9666666666666667,0.547,0.985,0.5210000000000001,0.9783333333333334,0.536,0.975,0.5509999999999999,0.9866666666666667,0.5170000000000001,0.9950000000000001,0.5309999999999999
