train_accuracy_0,test_accuracy_0,train_accuracy_1,test_accuracy_1,train_accuracy_2,test_accuracy_2,train_accuracy_3,test_accuracy_3,train_accuracy_4,test_accuracy_4,train_accuracy_5,test_accuracy_5,train_accuracy_6,test_accuracy_6,train_accuracy_7,test_accuracy_7,train_accuracy_8,test_accuracy_8,train_accuracy_9,test_accuracy_9
0.695,0.733,0.6133333333333333,0.708,0.6333333333333333,0.729,0.6333333333333333,0.734,0.6083333333333333,0.7470000000000001,0.5816666666666667,0.726,0.555,0.684,0.6333333333333334,0.751,0.5599999999999999,0.696,0.59,0.715
0.7866666666666666,0.76,0.7466666666666667,0.746,0.7600000000000001,0.7610000000000001,0.7866666666666667,0.7629999999999999,0.775,0.775,0.7733333333333333,0.752,0.7516666666666666,0.729,0.7716666666666666,0.7849999999999999,0.7316666666666668,0.743,0.75,0.726
0.8133333333333334,0.759,0.7933333333333333,0.7700000000000001,0.7916666666666666,0.7809999999999999,0.83,0.771,0.7999999999999999,0.7909999999999999,0.8066666666666666,0.768,0.7916666666666666,0.7450000000000001,0.8116666666666665,0.79,0.7783333333333333,0.76,0.7800000000000001,0.739
0.84,0.765,0.8183333333333334,0.763,0.8166666666666668,0.783,0.85,0.7789999999999999,0.83,0.7830000000000001,0.8316666666666667,0.781,0.8183333333333334,0.75,0.8300000000000001,0.7929999999999999,0.8000000000000002,0.772,0.8183333333333334,0.7510000000000001
0.8466666666666667,0.7670000000000001,0.8433333333333333,0.767,0.8366666666666666,0.792,0.8583333333333333,0.783,0.8516666666666667,0.792,0.8533333333333334,0.7889999999999999,0.8433333333333333,0.763,0.85,0.7969999999999999,0.8183333333333332,0.7769999999999999,0.8366666666666666,0.757
0.88,0.782,0.8416666666666667,0.7669999999999999,0.8316666666666667,0.794,0.8716666666666666,0.784,0.8583333333333334,0.787,0.8650000000000001,0.788,0.8583333333333334,0.768,0.8433333333333333,0.79,0.835,0.772,0.8516666666666667,0.768
0.8883333333333333,0.7939999999999999,0.8533333333333334,0.7609999999999999,0.8466666666666667,0.797,0.8766666666666666,0.7809999999999999,0.8683333333333333,0.786,0.8816666666666667,0.796,0.8766666666666666,0.772,0.8566666666666666,0.7950000000000002,0.85,0.766,0.86,0.772
0.89,0.788,0.8650000000000001,0.765,0.8533333333333334,0.8140000000000001,0.8916666666666666,0.78,0.8766666666666666,0.7910000000000001,0.895,0.793,0.8916666666666666,0.781,0.8650000000000001,0.7939999999999999,0.875,0.7700000000000001,0.8766666666666666,0.7790000000000001
0.8983333333333333,0.784,0.8799999999999999,0.765,0.8616666666666667,0.8150000000000001,0.9033333333333333,0.776,0.8866666666666667,0.7909999999999999,0.9049999999999999,0.8029999999999999,0.9,0.7769999999999999,0.8716666666666667,0.7929999999999999,0.8833333333333333,0.776,0.88,0.7790000000000001
0.9033333333333333,0.7770000000000001,0.8933333333333332,0.772,0.8816666666666667,0.8150000000000001,0.9066666666666667,0.787,0.8933333333333334,0.792,0.9133333333333334,0.8150000000000001,0.91,0.777,0.8916666666666666,0.7929999999999999,0.8866666666666667,0.78,0.89,0.78
0.92,0.78,0.9083333333333333,0.777,0.895,0.804,0.91,0.7860000000000001,0.9,0.7949999999999999,0.9183333333333333,0.8150000000000001,0.9216666666666667,0.7830000000000001,0.895,0.787,0.8966666666666666,0.78,0.8966666666666666,0.788
0.92,0.7820000000000001,0.9133333333333334,0.779,0.9049999999999999,0.805,0.915,0.791,0.9,0.794,0.9266666666666667,0.8119999999999999,0.9283333333333333,0.783,0.9033333333333333,0.789,0.9100000000000001,0.781,0.9016666666666667,0.7979999999999999
0.9233333333333333,0.78,0.9233333333333333,0.781,0.9183333333333333,0.806,0.9166666666666666,0.7969999999999999,0.91,0.796,0.9316666666666666,0.8119999999999999,0.9366666666666666,0.786,0.915,0.787,0.9216666666666667,0.785,0.91,0.806
0.9316666666666666,0.781,0.9283333333333333,0.782,0.9266666666666667,0.806,0.92,0.7939999999999999,0.915,0.789,0.9366666666666666,0.8150000000000001,0.94,0.7939999999999999,0.9216666666666667,0.779,0.9349999999999999,0.796,0.9183333333333333,0.806
0.9349999999999999,0.784,0.935,0.7809999999999999,0.9316666666666666,0.8089999999999999,0.9266666666666667,0.8019999999999999,0.9116666666666666,0.79,0.94,0.8130000000000001,0.9433333333333334,0.795,0.9283333333333333,0.78,0.9400000000000001,0.799,0.9199999999999999,0.8049999999999999
0.9466666666666667,0.787,0.9349999999999999,0.7899999999999999,0.9383333333333334,0.808,0.9266666666666667,0.798,0.9233333333333333,0.799,0.945,0.807,0.9483333333333333,0.792,0.935,0.7830000000000001,0.9400000000000001,0.799,0.9216666666666667,0.8039999999999999
0.945,0.783,0.9383333333333334,0.7839999999999999,0.9400000000000001,0.806,0.9283333333333333,0.8039999999999999,0.93,0.805,0.9533333333333333,0.8099999999999999,0.9566666666666666,0.7910000000000001,0.9383333333333334,0.788,0.9383333333333334,0.8019999999999999,0.9266666666666667,0.8059999999999998
0.9483333333333333,0.78,0.945,0.7899999999999999,0.9416666666666668,0.8039999999999999,0.94,0.8049999999999999,0.9366666666666666,0.8109999999999999,0.9533333333333333,0.812,0.955,0.7950000000000002,0.9483333333333333,0.787,0.9400000000000001,0.8099999999999999,0.93,0.806
0.9533333333333333,0.776,0.9433333333333334,0.788,0.94,0.8019999999999999,0.9383333333333334,0.8030000000000002,0.9366666666666666,0.808,0.9516666666666667,0.818,0.9566666666666666,0.799,0.9466666666666667,0.796,0.9483333333333333,0.8099999999999999,0.9383333333333334,0.805
